"name","screen_name","text","polarity","subjectivity","label"
"Rohit Dhakras","lalashwa","RT @NITIAayog: NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Adviser Ratan P Watal ht…","0.20","0.35","POSITIVE"
"Vivek Vasishtha","VivekVasishtha","@amitabhk87 Thank you @NITIAayog @amitabh_kant #IBM #ibm #IBMWatson #ibm we are keen to collaborate &amp; participate i… https://t.co/FOLaW2iaEa","0.00","0.00","NEGATIVE"
"Shaik.Meharullah","ShaikMeharullah","RT @rbk2145: @PawanKalyan @ncbn @NITIAayog @HRDMinistry finally #AndhraPradesh production Dump engineers like me into Market.
To blame govt…","0.00","1.00","NEGATIVE"
"Shaik.Meharullah","ShaikMeharullah","RT @rbk2145: @PawanKalyan @ncbn @NITIAayog @HRDMinistry @SushmaSwaraj madam,#Help us to find our #PhysicalDirector of colz,who is missing f…","-0.20","0.05","NEGATIVE"
"vidyut kaji","vidyutkaji","RT @NITIAayog: NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Adviser Ratan P Watal ht…","0.20","0.35","POSITIVE"
"Anusha","ac_sekharan","What will this model mean for #accountability and #equity and has @NITIAayog given that any thought?
https://t.co/8YfPx5hRe0","-0.31","0.69","NEGATIVE"
"¶Δ☈ℾ☵╱╲ツ","tweet_pepper","@anahita_ramirez @amitabhk87 @NITIAayog Just get a sense why u hv to update ur apps in a day or two. The reason beh… https://t.co/LjZQ3CbH4g","0.00","0.00","NEGATIVE"
"the home of AI info","homeAIinfo","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"#Rich","RanjSriv","@NITIAayog Must come up with a white paper on Noida's homebuyers' plight @PMOIndia @narendramodi @arunjaitley @rajnathsingh @Gen_VKSingh","0.00","0.00","NEGATIVE"
"¶Δ☈ℾ☵╱╲ツ","tweet_pepper","@anahita_ramirez @amitabhk87 @NITIAayog Even AI needs MI intervention.. and their lies the doubt. How can AI priori… https://t.co/Eho4ifWzjX","0.00","0.00","NEGATIVE"
"Nilesh Alate","NileshAlate","#NITIAayog: NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Ad… https://t.co/orJr8teqen","0.20","0.35","POSITIVE"
"NITI Aayog","NITIAayog","NITI Aayog conducts the Second Phase of Review of Autonomous Bodies under chairmanship of Principal Adviser Ratan P… https://t.co/qXsuahjWHC","0.20","0.35","POSITIVE"
"¶Δ☈ℾ☵╱╲ツ","tweet_pepper","RT @anahita_ramirez: @amitabhk87 @NITIAayog Farmers are dying!Life is becoming tougher for Pensioners and The Working class.
Get a reality…","0.45","0.85","POSITIVE"
"Sundarr","ksundarr","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Gravity 2.0 !","Gravity_v20","#NewDelhiVisionConference

#TheCenturyOfGlobalInnovation

Partners Invited

iges@gravity20.org

#IGES
: @NITIAayog @bibekdebroy @RajivKumar1","0.00","0.00","NEGATIVE"
"Suresh T Kumar","sureshtkumar","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Harish Chibber","hchibber","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"Sarthak Soni","SoniSarthak72","https://t.co/faqfYHU1yc This will proliferate in Medical Services are privatized. An eye opener for Niti @NITIAayog","0.00","0.00","NEGATIVE"
"mahi","mahiopinion","@NITIAayog smart city committee should issue job guidelines as below n on footpaths, infrastructure, lighting, park… https://t.co/jJN7PKYiZV","0.21","0.64","POSITIVE"
"Linu Thomas","linuthomas82","RT @nitin33K: Innocent spent 2Yrs in JAIL becs of #GenderBiased
#FakeCases
#DhanKiBaat
@rsprasad @HMOIndia @NITIAayog @PIB_India 
https://t…","0.10","0.27","POSITIVE"
"Smart City Feed 🤖","smartcityfeed","RT @mahiopinion: #NITIAayog In smart city project cleanliness n tree plant is stressed. Specific are ignored like potholes roads, safety, d…","0.11","0.38","POSITIVE"
"#Kaffir.","TheStrongMagnet","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"PeriscopeDM","ChennaiJournos",".@sgurumurthy talks @theicai cc: @SVaidhyasubrama @PMOIndia @narendramodi @NITIAayog @RajivKumar1 @arvindsubraman https://t.co/g90xpISMHv","0.00","0.00","NEGATIVE"
"Deepak","linkdeepak","@AkhileshPSingh Childrens at mercy of pathetic institutions. Health dept and Hospital must be reformed.… https://t.co/b08ZD2ujhG","-1.00","1.00","NEGATIVE"
"D. Murali","dmuraliDM","@theicai @FinMinIndia @MIB_India @IASassociation @arunjaitley @NileshVik @arjunrammeghwal @adhia03 @santoshgangwar… https://t.co/8Rr7YjsWgh","0.00","0.00","NEGATIVE"
"mahi","mahiopinion","#NITIAayog In smart city project cleanliness n tree plant is stressed. Specific are ignored like potholes roads, safety, drainage, utility.","0.11","0.38","POSITIVE"
"Aurobindo Ogra","AurozOgra","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Niraj Singh","niraj5444","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"senthil","senthilstpi","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"Jimmy Shah","jimmyshah_21","RT @NITIAayog: NITI CEO @amitabhk87 interacts w/ Civil Society Organizations working on ground to enable gender equality by empowering wome…","0.00","0.00","NEGATIVE"
"Sharda Chandel","ChandelSharda","RT @RajivKumar1: @VasundharaBJP @NITIAayog Many thanks and greatly honoured. Looking forward to active collaboration and achieving positive…","0.34","0.51","POSITIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/2mzY8TMWac","0.00","0.00","NEGATIVE"
"Tina","Tina_2803","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Karnidan Daga","karnidan","RT @rk_misra: At world's largest Cycle Plant in Ludhiana-It started hiring women 1 yr ago. Women productivity is 25% higher than men @NITIA…","0.25","0.50","POSITIVE"
"Anjali Bansal","anjalibansal29","Initiative to empower vulnerable groups: Gurukulam residential school for ST students  #Bhopal #socialjustice… https://t.co/KgCgKFlmQn","-0.50","0.50","NEGATIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/jyEosa87iy","0.00","0.00","NEGATIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/3AGVr79cAX","0.00","0.00","NEGATIVE"
"Ankush Choubey","Ankushchoubey_","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/09VLmQr4n2","0.00","0.00","NEGATIVE"
"Luciano Cantaro","lucianocantaro","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Rahul Sinha","rahulunplugged","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/0xROZp9Hag","0.00","0.00","NEGATIVE"
"puru","puru4direction","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Sibi Saseendran","sibisaseendran","RT @tGELF: Finding solutions for the 1 bil people of India, means finding solutions for the world @amitabhk87 @NITIAayog https://t.co/0noZb…","0.00","0.00","NEGATIVE"
"Anjali Bansal","anjalibansal29","RT @NITIAayog: NITI is proud to announce partnership w/ 3 States to transform Health &amp; Edu under 'Sustainable Action for Transforming Human…","0.45","0.55","POSITIVE"
"MVenkataKrishnaRao","VKRAOMOVVA","@JP_LOKSATTA @PMOIndia @narendramodi @arunjaitley @rajnathsingh @BJP4India @INCIndiaLive @cpimspeak @ncbn… https://t.co/LJL6gGlsit","0.00","0.00","NEGATIVE"
"Amit Nigam","37Amit37","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"atique mohammed","atiquemohammed","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Abby","Bythebeach62","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Power for one's blow dryer may be an issue...
Indians deserve better.","0.50","0.50","POSITIVE"
"Avik Sarkar","avik_sarkar","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"BrasilBabe","BrasilBabe1","@KnowYourObama @USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Making $$$ out of us taxpayers… https://t.co/rzkqCdyjOm","0.00","0.00","NEGATIVE"
"BrasilBabe","BrasilBabe1","@Suzyqube @USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Your name tells it all. lol on your comment","0.80","0.70","POSITIVE"
"Ajeesh Prabhakaran","ajeeshprabha","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Anahita","anahita_ramirez","@amitabhk87 @NITIAayog Farmers are dying!Life is becoming tougher for Pensioners and The Working class.
Get a reality check mister.","0.45","0.85","POSITIVE"
"AMRIT RAJ SINGH","amritrsingh","@PankajPachauri @NITIAayog Sirji model is not the issue...it is about perennial poverty of govt couffers..becoz rev… https://t.co/hLrOfOPqjK","0.00","0.00","NEGATIVE"
"Ashish Verma","im_ashishverma","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Balbindar","balbindarENG","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"RN Kumar","ramnivaskumar","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Vivek Awasthi","vawasthi77","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Advocate Kiruba","kirubaNidhi_IPS","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Flavien","flavien_perier","RT @amitabhk87: Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will change entire…","-0.30","1.00","NEGATIVE"
"Amitabh Kant","amitabhk87","Artificial Intelligence is d key utility of technology world -like electricity evolved a century ago. AI will chang… https://t.co/Qj9G8cMpe5","-0.30","1.00","NEGATIVE"
"PRADEEPTA GIRI","pradeeptagiri","RT @sangeetharaghu9: @NITIAayog @amitabhk87 @PMOIndia @narendramodi @APanagariya @bibekdebroy @PIB_India @GoI_MeitY Mr. Kant you are doing…","0.00","0.00","NEGATIVE"
"Swach Bhartiya 💪","swach_bhartiya","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Manoj Ladwa","manojladwa","RT @manojladwa: My take: @NITIAayog just got exciting.  But it's new boss @RajivKumar1 has his work cut out https://t.co/qSq8bPpIyJ via @in…","0.22","0.63","POSITIVE"
"Michael Needham","Goldstarvet","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog @realDonaldTrump did. the president and all of… https://t.co/Vp2a0TPy4t","0.00","0.00","NEGATIVE"
"STPI BHILAI","stpi_bhilai","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"Marcia Coronado","MarciaCoronado9","@Suzyqube @USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog QUBE, YOURE CRAZY,  LUNATIC LOSER 😭😭😭😭","-0.60","0.90","NEGATIVE"
"Saurabh Duggal","duggal_saurabh","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Ashok Suyal","ashoksuyal","RT @APanagariya: @RajivKumar1 Thank you. Am glad @NITIAayog is all set to continue to grow under ur watch","0.50","1.00","POSITIVE"
"vivekpatel","vivekpa82907100","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"ashok choudhury","humanity_ashok","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog ...welcome to India. hope, women entrepreneurs… https://t.co/Oohcuy4bVW","0.00","0.00","NEGATIVE"
"Sitaram bairwa","SitaramSwm2010","RT @rupeshkumarswam: #NitiAayog #RajyaSabhaPolls 
Low GP, NPS, 2 yr Probation . Enough is enough that's why #Raj_IA_Deserves_3600_GrdPay  @…","0.00","0.43","NEGATIVE"
"s.kannan","SurriyaRs","RT @NITIAayog: NITI CEO @amitabhk87 interacts w/ Civil Society Organizations working on ground to enable gender equality by empowering wome…","0.00","0.00","NEGATIVE"
"Phool Singh","PhoolSi56548374","Focus Area - #DigitalIndia
Fitting IR sensor on DIY movable cleanerto avoid obstacle #UnboxDesignThinking… https://t.co/51LDHdwBnb","0.50","0.50","POSITIVE"
"Ujjwal Singh","ujjwalujjwal","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"ATL Jodhpur","ATLJodhpur","Focus Area : Agriculture
Automation of farming methods using DTMF.
#UnboxDesignThinking #NITIAayog #AIMToInnovate @ibm_in @AIMtoInnovate","0.00","0.00","NEGATIVE"
"jayanthi","jayanthig03","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"Jay","jayeshdixitmumb","@NITIAayog can you mandate all canteens to go cashless in IT parks and offices?","0.00","0.00","NEGATIVE"
"ARCHANA SINGH","ARCHANA1968","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Bhavani Giddu","bgiddu","@NITIAayog when we can't bring accountability into govt, how would you monitor accountability in privatisation of h… https://t.co/4kl6OdHvEI","0.00","0.00","NEGATIVE"
"Srini","srinivav","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Welcome to #Hyderabad, #Telangana state. cc… https://t.co/XZ6PDbcT3O","0.80","0.90","POSITIVE"
"ParvatiSahakar.in","ParvatisahakarI","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog WELCOME....
COOPERATE....COLLABORATE.....
WE N… https://t.co/4MWIzKHD6x","0.80","0.90","POSITIVE"
"Harminder","harrydelhi","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Reena Damodaran","REENADAMODAR","RT @INVESTECHINDIA: #NITIAayog Vice Chairman says the #government may revisit GST in 2-3 years. #INDIA #INVESTECHINDIA https://t.co/Vca66Lu…","0.00","0.00","NEGATIVE"
"John Baron","1JohnBaron","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog You and your family are proof that you don't n… https://t.co/AtHNRU1nZ4","0.00","0.00","NEGATIVE"
"John Baron","1JohnBaron","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Has Jared completed the Middle East peace deal… https://t.co/E3w9QrMccR","0.00","0.00","NEGATIVE"
"DavidMaricelAnthony","heavenlues7","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog What a beautiful Charming Ivanka","0.77","1.00","POSITIVE"
"byom","byomjeet","@PankajPachauri @NITIAayog Public health services should be free and managed by Govt. Why PPP or why give prime lan… https://t.co/u8hlzbDLPY","0.20","0.43","POSITIVE"
"Amitabh Rajat","urbabboo","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"chandan mukhopadhyay","Ck54C","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"dr.aakash punjab","gargaakash8615","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Sushant Shetty","shetty_sushant","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Hardeep Singh","singh_humanity","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Sathya Raghu","sathyafarmer","RT @r_puskur: The spectre of #inequality in #India @NITIAayog @arvindpadhee @sathyafarmer @Nafeesmeah @RiceResearch @GEAG_India @RGMVP @agu…","0.00","0.00","NEGATIVE"
"Anurag Shah","anuragshah710","In conversation with @NITIAayog CEO @amitabhk87 @ 99th foundation day event of @newindiaassuran @dna @ZeeBusiness  https://t.co/u1DZyEtSYR","0.00","0.00","NEGATIVE"
"Rakesh Verma","rkverma20","RT @NITIAayog: NITI CEO @amitabhk87 interacts with Ministries, Industries, Academia to deliberate on the use of Artificial Intelligence for…","-0.60","1.00","NEGATIVE"
"joydeep ghosh","joydeepghosh","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"amit shukla","amms28","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Bart DSouza","bartdsouza","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"ABHISHEK GWAL","ABHISHEKGWAL1","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"himesh","himilala","@PankajPachauri @NITIAayog After 30 yrs ppl are waiting for justice they are till suffering but no one in country n… https://t.co/y3sWb8eUJH","0.00","0.00","NEGATIVE"
"RaptorAttackJack","raptoratackjack","@USAndIndia @IvankaTrump @GES2017 @narendramodi @PMOIndia @NITIAayog Useless as a Saudi prince. Keep that in mind a… https://t.co/knuY4UO4e9","-0.50","0.20","NEGATIVE"
"Karunesh","karunesh0","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"_eMeNeF_","_eMeNeF_","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"Gaurav","Grovs07","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
"CHERAKULA YUGESH","YUGESHBABU14","RT @tGELF: Finding solutions for the 1 bil people of India, means finding solutions for the world @amitabhk87 @NITIAayog https://t.co/0noZb…","0.00","0.00","NEGATIVE"
"Dr.Santosh Singh","drsantoshsingh5","RT @r_puskur: The spectre of #inequality in #India @NITIAayog @arvindpadhee @sathyafarmer @Nafeesmeah @RiceResearch @GEAG_India @RGMVP @agu…","0.00","0.00","NEGATIVE"
"GST 56"" Fraud Fakeer","NeverVoteForBJP","RT @PankajPachauri: Tragedy at #Gorakhpur hospital puts a big question mark on @NITIAayog 's PPP model on public health services. Needs att…","0.00","0.08","NEGATIVE"
